Area Unit,Area Unit Code,Census Year,Measure,Sex,Value,Value Unit,Value Label,Null Reason
Taipa Bay-Mangonui,Taipa Bay-Mangonui,2013,Census night population count,Total people,1833,number,Number of people,
Taipa Bay-Mangonui,Taipa Bay-Mangonui,2001,Sex for the census usually resident population count,Male,780,number,Number of people,
Taipa Bay-Mangonui,Taipa Bay-Mangonui,2001,Sex for the census usually resident population count,Female,804,number,Number of people,
Taipa Bay-Mangonui,Taipa Bay-Mangonui,2001,Sex for the census usually resident population count,Total people,1587,number,Number of people,
Taipa Bay-Mangonui,Taipa Bay-Mangonui,2006,Sex for the census usually resident population count,Male,750,number,Number of people,
Taipa Bay-Mangonui,Taipa Bay-Mangonui,2006,Sex for the census usually resident population count,Female,819,number,Number of people,
Taipa Bay-Mangonui,Taipa Bay-Mangonui,2006,Sex for the census usually resident population count,Total people,1569,number,Number of people,
Taipa Bay-Mangonui,Taipa Bay-Mangonui,2013,Sex for the census usually resident population count,Male,795,number,Number of people,
Taipa Bay-Mangonui,Taipa Bay-Mangonui,2013,Sex for the census usually resident population count,Female,870,number,Number of people,
Taipa Bay-Mangonui,Taipa Bay-Mangonui,2013,Sex for the census usually resident population count,Total people,1665,number,Number of people,
Herekino,Herekino,2001,Census usually resident population count,Total people,2055,number,Number of people,
Herekino,Herekino,2006,Census usually resident population count,Total people,1947,number,Number of people,
Herekino,Herekino,2013,Census usually resident population count,Total people,2016,number,Number of people,
Herekino,Herekino,2001,Census night population count,Total people,2034,number,Number of people,
Herekino,Herekino,2006,Census night population count,Total people,1908,number,Number of people,
Herekino,Herekino,2013,Census night population count,Total people,2001,number,Number of people,
Herekino,Herekino,2001,Sex for the census usually resident population count,Male,1053,number,Number of people,
Herekino,Herekino,2001,Sex for the census usually resident population count,Female,1002,number,Number of people,
Herekino,Herekino,2001,Sex for the census usually resident population count,Total people,2055,number,Number of people,
Herekino,Herekino,2006,Sex for the census usually resident population count,Male,1002,number,Number of people,
Herekino,Herekino,2006,Sex for the census usually resident population count,Female,945,number,Number of people,
Herekino,Herekino,2006,Sex for the census usually resident population count,Total people,1950,number,Number of people,
Herekino,Herekino,2013,Sex for the census usually resident population count,Male,1038,number,Number of people,
Herekino,Herekino,2013,Sex for the census usually resident population count,Female,978,number,Number of people,
Herekino,Herekino,2013,Sex for the census usually resident population count,Total people,2013,number,Number of people,
Ahipara,Ahipara,2001,Census usually resident population count,Total people,1038,number,Number of people,
Ahipara,Ahipara,2006,Census usually resident population count,Total people,1122,number,Number of people,
Ahipara,Ahipara,2013,Census usually resident population count,Total people,1065,number,Number of people,
Ahipara,Ahipara,2001,Census night population count,Total people,1077,number,Number of people,
Ahipara,Ahipara,2006,Census night population count,Total people,1170,number,Number of people,
Ahipara,Ahipara,2013,Census night population count,Total people,1137,number,Number of people,
Ahipara,Ahipara,2001,Sex for the census usually resident population count,Male,522,number,Number of people,
Ahipara,Ahipara,2001,Sex for the census usually resident population count,Female,519,number,Number of people,
Ahipara,Ahipara,2001,Sex for the census usually resident population count,Total people,1041,number,Number of people,
Ahipara,Ahipara,2006,Sex for the census usually resident population count,Male,558,number,Number of people,
Ahipara,Ahipara,2006,Sex for the census usually resident population count,Female,564,number,Number of people,
Ahipara,Ahipara,2006,Sex for the census usually resident population count,Total people,1125,number,Number of people,
Ahipara,Ahipara,2013,Sex for the census usually resident population count,Male,531,number,Number of people,
Ahipara,Ahipara,2013,Sex for the census usually resident population count,Female,534,number,Number of people,
Ahipara,Ahipara,2013,Sex for the census usually resident population count,Total people,1065,number,Number of people,
North Cape,North Cape,2001,Census usually resident population count,Total people,549,number,Number of people,
North Cape,North Cape,2006,Census usually resident population count,Total people,501,number,Number of people,
North Cape,North Cape,2013,Census usually resident population count,Total people,441,number,Number of people,
North Cape,North Cape,2001,Census night population count,Total people,582,number,Number of people,
North Cape,North Cape,2006,Census night population count,Total people,537,number,Number of people,
North Cape,North Cape,2013,Census night population count,Total people,447,number,Number of people,
North Cape,North Cape,2001,Sex for the census usually resident population count,Male,279,number,Number of people,
North Cape,North Cape,2001,Sex for the census usually resident population count,Female,267,number,Number of people,
North Cape,North Cape,2001,Sex for the census usually resident population count,Total people,549,number,Number of people,
North Cape,North Cape,2006,Sex for the census usually resident population count,Male,261,number,Number of people,
North Cape,North Cape,2006,Sex for the census usually resident population count,Female,243,number,Number of people,
North Cape,North Cape,2006,Sex for the census usually resident population count,Total people,504,number,Number of people,
North Cape,North Cape,2013,Sex for the census usually resident population count,Male,231,number,Number of people,
North Cape,North Cape,2013,Sex for the census usually resident population count,Female,210,number,Number of people,
North Cape,North Cape,2013,Sex for the census usually resident population count,Total people,441,number,Number of people,
Houhora,Houhora,2001,Census usually resident population count,Total people,915,number,Number of people,
Houhora,Houhora,2006,Census usually resident population count,Total people,840,number,Number of people,
Houhora,Houhora,2013,Census usually resident population count,Total people,930,number,Number of people,
Houhora,Houhora,2001,Census night population count,Total people,990,number,Number of people,
Houhora,Houhora,2006,Census night population count,Total people,927,number,Number of people,
Houhora,Houhora,2013,Census night population count,Total people,1008,number,Number of people,
Houhora,Houhora,2001,Sex for the census usually resident population count,Male,471,number,Number of people,
Houhora,Houhora,2001,Sex for the census usually resident population count,Female,444,number,Number of people,
Houhora,Houhora,2001,Sex for the census usually resident population count,Total people,915,number,Number of people,
Houhora,Houhora,2006,Sex for the census usually resident population count,Male,417,number,Number of people,
Houhora,Houhora,2006,Sex for the census usually resident population count,Female,423,number,Number of people,
Houhora,Houhora,2006,Sex for the census usually resident population count,Total people,840,number,Number of people,
Houhora,Houhora,2013,Sex for the census usually resident population count,Male,450,number,Number of people,
Houhora,Houhora,2013,Sex for the census usually resident population count,Female,483,number,Number of people,
Houhora,Houhora,2013,Sex for the census usually resident population count,Total people,930,number,Number of people,
Motutangi-Kareponia,Motutangi-Kareponia,2001,Census usually resident population count,Total people,1701,number,Number of people,
Motutangi-Kareponia,Motutangi-Kareponia,2006,Census usually resident population count,Total people,1755,number,Number of people,
Motutangi-Kareponia,Motutangi-Kareponia,2013,Census usually resident population count,Total people,1794,number,Number of people,
Motutangi-Kareponia,Motutangi-Kareponia,2001,Census night population count,Total people,1707,number,Number of people,
Motutangi-Kareponia,Motutangi-Kareponia,2006,Census night population count,Total people,1746,number,Number of people,
Motutangi-Kareponia,Motutangi-Kareponia,2013,Census night population count,Total people,1767,number,Number of people,
Motutangi-Kareponia,Motutangi-Kareponia,2001,Sex for the census usually resident population count,Male,858,number,Number of people,
Motutangi-Kareponia,Motutangi-Kareponia,2001,Sex for the census usually resident population count,Female,846,number,Number of people,
Motutangi-Kareponia,Motutangi-Kareponia,2001,Sex for the census usually resident population count,Total people,1701,number,Number of people,
Motutangi-Kareponia,Motutangi-Kareponia,2006,Sex for the census usually resident population count,Male,891,number,Number of people,
Motutangi-Kareponia,Motutangi-Kareponia,2006,Sex for the census usually resident population count,Female,864,number,Number of people,
Motutangi-Kareponia,Motutangi-Kareponia,2006,Sex for the census usually resident population count,Total people,1755,number,Number of people,
Motutangi-Kareponia,Motutangi-Kareponia,2013,Sex for the census usually resident population count,Male,882,number,Number of people,
Motutangi-Kareponia,Motutangi-Kareponia,2013,Sex for the census usually resident population count,Female,909,number,Number of people,
Motutangi-Kareponia,Motutangi-Kareponia,2013,Sex for the census usually resident population count,Total people,1794,number,Number of people,
Kaitaia West,Kaitaia West,2001,Census usually resident population count,Total people,3189,number,Number of people,
Kaitaia West,Kaitaia West,2006,Census usually resident population count,Total people,3252,number,Number of people,
Kaitaia West,Kaitaia West,2013,Census usually resident population count,Total people,3093,number,Number of people,
Kaitaia West,Kaitaia West,2001,Census night population count,Total people,3192,number,Number of people,
Kaitaia West,Kaitaia West,2006,Census night population count,Total people,3369,number,Number of people,
Kaitaia West,Kaitaia West,2013,Census night population count,Total people,3099,number,Number of people,
Kaitaia West,Kaitaia West,2001,Sex for the census usually resident population count,Male,1500,number,Number of people,
Kaitaia West,Kaitaia West,2001,Sex for the census usually resident population count,Female,1689,number,Number of people,
Kaitaia West,Kaitaia West,2001,Sex for the census usually resident population count,Total people,3189,number,Number of people,
Kaitaia West,Kaitaia West,2006,Sex for the census usually resident population count,Male,1524,number,Number of people,
Kaitaia West,Kaitaia West,2006,Sex for the census usually resident population count,Female,1731,number,Number of people,
Kaitaia West,Kaitaia West,2006,Sex for the census usually resident population count,Total people,3252,number,Number of people,
Kaitaia West,Kaitaia West,2013,Sex for the census usually resident population count,Male,1470,number,Number of people,
Kaitaia West,Kaitaia West,2013,Sex for the census usually resident population count,Female,1626,number,Number of people,
Kaitaia West,Kaitaia West,2013,Sex for the census usually resident population count,Total people,3093,number,Number of people,
Kaitaia East,Kaitaia East,2001,Census usually resident population count,Total people,1959,number,Number of people,
Kaitaia East,Kaitaia East,2006,Census usually resident population count,Total people,1953,number,Number of people,
Kaitaia East,Kaitaia East,2013,Census usually resident population count,Total people,1797,number,Number of people,
Kaitaia East,Kaitaia East,2001,Census night population count,Total people,1962,number,Number of people,
Kaitaia East,Kaitaia East,2006,Census night population count,Total people,1938,number,Number of people,
Kaitaia East,Kaitaia East,2013,Census night population count,Total people,1821,number,Number of people,
Kaitaia East,Kaitaia East,2001,Sex for the census usually resident population count,Male,915,number,Number of people,
Kaitaia East,Kaitaia East,2001,Sex for the census usually resident population count,Female,1047,number,Number of people,
Kaitaia East,Kaitaia East,2001,Sex for the census usually resident population count,Total people,1962,number,Number of people,
Kaitaia East,Kaitaia East,2006,Sex for the census usually resident population count,Male,933,number,Number of people,
Kaitaia East,Kaitaia East,2006,Sex for the census usually resident population count,Female,1020,number,Number of people,
Kaitaia East,Kaitaia East,2006,Sex for the census usually resident population count,Total people,1953,number,Number of people,
Kaitaia East,Kaitaia East,2013,Sex for the census usually resident population count,Male,837,number,Number of people,
Kaitaia East,Kaitaia East,2013,Sex for the census usually resident population count,Female,960,number,Number of people,
Kaitaia East,Kaitaia East,2013,Sex for the census usually resident population count,Total people,1797,number,Number of people,
Kaeo,Kaeo,2001,Census usually resident population count,Total people,495,number,Number of people,
Kaeo,Kaeo,2006,Census usually resident population count,Total people,495,number,Number of people,
Kaeo,Kaeo,2013,Census usually resident population count,Total people,453,number,Number of people,
Kaeo,Kaeo,2001,Census night population count,Total people,471,number,Number of people,
Kaeo,Kaeo,2006,Census night population count,Total people,489,number,Number of people,
Kaeo,Kaeo,2013,Census night population count,Total people,438,number,Number of people,
Kaeo,Kaeo,2001,Sex for the census usually resident population count,Male,243,number,Number of people,
Kaeo,Kaeo,2001,Sex for the census usually resident population count,Female,252,number,Number of people,
Kaeo,Kaeo,2001,Sex for the census usually resident population count,Total people,492,number,Number of people,
Kaeo,Kaeo,2006,Sex for the census usually resident population count,Male,252,number,Number of people,
Kaeo,Kaeo,2006,Sex for the census usually resident population count,Female,243,number,Number of people,
Kaeo,Kaeo,2006,Sex for the census usually resident population count,Total people,498,number,Number of people,
Kaeo,Kaeo,2013,Sex for the census usually resident population count,Male,228,number,Number of people,
Kaeo,Kaeo,2013,Sex for the census usually resident population count,Female,228,number,Number of people,
Kaeo,Kaeo,2013,Sex for the census usually resident population count,Total people,453,number,Number of people,
Mangapa-Matauri Bay,Mangapa-Matauri Bay,2001,Census usually resident population count,Total people,2763,number,Number of people,
Mangapa-Matauri Bay,Mangapa-Matauri Bay,2006,Census usually resident population count,Total people,2649,number,Number of people,
Mangapa-Matauri Bay,Mangapa-Matauri Bay,2013,Census usually resident population count,Total people,2517,number,Number of people,
Mangapa-Matauri Bay,Mangapa-Matauri Bay,2001,Census night population count,Total people,2904,number,Number of people,
Mangapa-Matauri Bay,Mangapa-Matauri Bay,2006,Census night population count,Total people,2859,number,Number of people,
Mangapa-Matauri Bay,Mangapa-Matauri Bay,2013,Census night population count,Total people,2688,number,Number of people,
Mangapa-Matauri Bay,Mangapa-Matauri Bay,2001,Sex for the census usually resident population count,Male,1416,number,Number of people,
Mangapa-Matauri Bay,Mangapa-Matauri Bay,2001,Sex for the census usually resident population count,Female,1347,number,Number of people,
Mangapa-Matauri Bay,Mangapa-Matauri Bay,2001,Sex for the census usually resident population count,Total people,2763,number,Number of people,
Mangapa-Matauri Bay,Mangapa-Matauri Bay,2006,Sex for the census usually resident population count,Male,1299,number,Number of people,
Mangapa-Matauri Bay,Mangapa-Matauri Bay,2006,Sex for the census usually resident population count,Female,1347,number,Number of people,
Mangapa-Matauri Bay,Mangapa-Matauri Bay,2006,Sex for the census usually resident population count,Total people,2646,number,Number of people,
Mangapa-Matauri Bay,Mangapa-Matauri Bay,2013,Sex for the census usually resident population count,Male,1272,number,Number of people,
Mangapa-Matauri Bay,Mangapa-Matauri Bay,2013,Sex for the census usually resident population count,Female,1245,number,Number of people,
Mangapa-Matauri Bay,Mangapa-Matauri Bay,2013,Sex for the census usually resident population count,Total people,2517,number,Number of people,
Kohukohu,Kohukohu,2001,Census usually resident population count,Total people,165,number,Number of people,
Kohukohu,Kohukohu,2006,Census usually resident population count,Total people,186,number,Number of people,
Kohukohu,Kohukohu,2013,Census usually resident population count,Total people,165,number,Number of people,
Kohukohu,Kohukohu,2001,Census night population count,Total people,159,number,Number of people,
Kohukohu,Kohukohu,2006,Census night population count,Total people,201,number,Number of people,
Kohukohu,Kohukohu,2013,Census night population count,Total people,180,number,Number of people,
Kohukohu,Kohukohu,2001,Sex for the census usually resident population count,Male,81,number,Number of people,
Kohukohu,Kohukohu,2001,Sex for the census usually resident population count,Female,84,number,Number of people,
Kohukohu,Kohukohu,2001,Sex for the census usually resident population count,Total people,165,number,Number of people,
Kohukohu,Kohukohu,2006,Sex for the census usually resident population count,Male,84,number,Number of people,
Kohukohu,Kohukohu,2006,Sex for the census usually resident population count,Female,99,number,Number of people,
Kohukohu,Kohukohu,2006,Sex for the census usually resident population count,Total people,186,number,Number of people,
Kohukohu,Kohukohu,2013,Sex for the census usually resident population count,Male,75,number,Number of people,
Kohukohu,Kohukohu,2013,Sex for the census usually resident population count,Female,90,number,Number of people,
Kohukohu,Kohukohu,2013,Sex for the census usually resident population count,Total people,168,number,Number of people,
Rawene,Rawene,2001,Census usually resident population count,Total people,462,number,Number of people,
Rawene,Rawene,2006,Census usually resident population count,Total people,438,number,Number of people,
Rawene,Rawene,2013,Census usually resident population count,Total people,471,number,Number of people,
Rawene,Rawene,2001,Census night population count,Total people,468,number,Number of people,
Rawene,Rawene,2006,Census night population count,Total people,468,number,Number of people,
Rawene,Rawene,2013,Census night population count,Total people,486,number,Number of people,
Rawene,Rawene,2001,Sex for the census usually resident population count,Male,228,number,Number of people,
Rawene,Rawene,2001,Sex for the census usually resident population count,Female,234,number,Number of people,
Rawene,Rawene,2001,Sex for the census usually resident population count,Total people,462,number,Number of people,
Rawene,Rawene,2006,Sex for the census usually resident population count,Male,207,number,Number of people,
Rawene,Rawene,2006,Sex for the census usually resident population count,Female,234,number,Number of people,
Rawene,Rawene,2006,Sex for the census usually resident population count,Total people,438,number,Number of people,
Rawene,Rawene,2013,Sex for the census usually resident population count,Male,222,number,Number of people,
Rawene,Rawene,2013,Sex for the census usually resident population count,Female,249,number,Number of people,
Rawene,Rawene,2013,Sex for the census usually resident population count,Total people,471,number,Number of people,
Omapere and Opononi,Omapere and Opononi,2001,Census usually resident population count,Total people,594,number,Number of people,
Omapere and Opononi,Omapere and Opononi,2006,Census usually resident population count,Total people,477,number,Number of people,
Omapere and Opononi,Omapere and Opononi,2013,Census usually resident population count,Total people,414,number,Number of people,
Omapere and Opononi,Omapere and Opononi,2001,Census night population count,Total people,657,number,Number of people,
Omapere and Opononi,Omapere and Opononi,2006,Census night population count,Total people,792,number,Number of people,
Omapere and Opononi,Omapere and Opononi,2013,Census night population count,Total people,483,number,Number of people,
Omapere and Opononi,Omapere and Opononi,2001,Sex for the census usually resident population count,Male,297,number,Number of people,
Omapere and Opononi,Omapere and Opononi,2001,Sex for the census usually resident population count,Female,300,number,Number of people,
Omapere and Opononi,Omapere and Opononi,2001,Sex for the census usually resident population count,Total people,597,number,Number of people,
Omapere and Opononi,Omapere and Opononi,2006,Sex for the census usually resident population count,Male,216,number,Number of people,
Omapere and Opononi,Omapere and Opononi,2006,Sex for the census usually resident population count,Female,264,number,Number of people,
Omapere and Opononi,Omapere and Opononi,2006,Sex for the census usually resident population count,Total people,477,number,Number of people,
Omapere and Opononi,Omapere and Opononi,2013,Sex for the census usually resident population count,Male,192,number,Number of people,
Omapere and Opononi,Omapere and Opononi,2013,Sex for the census usually resident population count,Female,222,number,Number of people,
Omapere and Opononi,Omapere and Opononi,2013,Sex for the census usually resident population count,Total people,414,number,Number of people,
Hokianga North,Hokianga North,2001,Census usually resident population count,Total people,2016,number,Number of people,
Hokianga North,Hokianga North,2006,Census usually resident population count,Total people,1962,number,Number of people,
Hokianga North,Hokianga North,2013,Census usually resident population count,Total people,1689,number,Number of people,
Hokianga North,Hokianga North,2001,Census night population count,Total people,2016,number,Number of people,
Hokianga North,Hokianga North,2006,Census night population count,Total people,1920,number,Number of people,
Hokianga North,Hokianga North,2013,Census night population count,Total people,1674,number,Number of people,
Hokianga North,Hokianga North,2001,Sex for the census usually resident population count,Male,1014,number,Number of people,
Hokianga North,Hokianga North,2001,Sex for the census usually resident population count,Female,999,number,Number of people,
Hokianga North,Hokianga North,2001,Sex for the census usually resident population count,Total people,2013,number,Number of people,
Hokianga North,Hokianga North,2006,Sex for the census usually resident population count,Male,984,number,Number of people,
Hokianga North,Hokianga North,2006,Sex for the census usually resident population count,Female,978,number,Number of people,
Hokianga North,Hokianga North,2006,Sex for the census usually resident population count,Total people,1962,number,Number of people,
Hokianga North,Hokianga North,2013,Sex for the census usually resident population count,Male,849,number,Number of people,
Hokianga North,Hokianga North,2013,Sex for the census usually resident population count,Female,837,number,Number of people,
Hokianga North,Hokianga North,2013,Sex for the census usually resident population count,Total people,1686,number,Number of people,
Hokianga South,Hokianga South,2001,Census usually resident population count,Total people,2874,number,Number of people,
Hokianga South,Hokianga South,2006,Census usually resident population count,Total people,2607,number,Number of people,
Hokianga South,Hokianga South,2013,Census usually resident population count,Total people,2571,number,Number of people,
Hokianga South,Hokianga South,2001,Census night population count,Total people,2859,number,Number of people,
Hokianga South,Hokianga South,2006,Census night population count,Total people,2607,number,Number of people,
Hokianga South,Hokianga South,2013,Census night population count,Total people,2526,number,Number of people,
Hokianga South,Hokianga South,2001,Sex for the census usually resident population count,Male,1449,number,Number of people,
Hokianga South,Hokianga South,2001,Sex for the census usually resident population count,Female,1428,number,Number of people,
Hokianga South,Hokianga South,2001,Sex for the census usually resident population count,Total people,2874,number,Number of people,
Hokianga South,Hokianga South,2006,Sex for the census usually resident population count,Male,1320,number,Number of people,
Hokianga South,Hokianga South,2006,Sex for the census usually resident population count,Female,1290,number,Number of people,
Hokianga South,Hokianga South,2006,Sex for the census usually resident population count,Total people,2610,number,Number of people,
Hokianga South,Hokianga South,2013,Sex for the census usually resident population count,Male,1299,number,Number of people,
Hokianga South,Hokianga South,2013,Sex for the census usually resident population count,Female,1272,number,Number of people,
Hokianga South,Hokianga South,2013,Sex for the census usually resident population count,Total people,2568,number,Number of people,
Kerikeri,Kerikeri,2001,Census usually resident population count,Total people,4881,number,Number of people,
Kerikeri,Kerikeri,2006,Census usually resident population count,Total people,5856,number,Number of people,
Kerikeri,Kerikeri,2013,Census usually resident population count,Total people,6507,number,Number of people,
Kerikeri,Kerikeri,2001,Census night population count,Total people,5016,number,Number of people,
Kerikeri,Kerikeri,2006,Census night population count,Total people,6078,number,Number of people,
Kerikeri,Kerikeri,2013,Census night population count,Total people,6735,number,Number of people,
Kerikeri,Kerikeri,2001,Sex for the census usually resident population count,Male,2331,number,Number of people,
Kerikeri,Kerikeri,2001,Sex for the census usually resident population count,Female,2547,number,Number of people,
Kerikeri,Kerikeri,2001,Sex for the census usually resident population count,Total people,4881,number,Number of people,
Kerikeri,Kerikeri,2006,Sex for the census usually resident population count,Male,2811,number,Number of people,
Kerikeri,Kerikeri,2006,Sex for the census usually resident population count,Female,3048,number,Number of people,
Kerikeri,Kerikeri,2006,Sex for the census usually resident population count,Total people,5856,number,Number of people,
Kerikeri,Kerikeri,2013,Sex for the census usually resident population count,Male,3069,number,Number of people,
Kerikeri,Kerikeri,2013,Sex for the census usually resident population count,Female,3438,number,Number of people,
Kerikeri,Kerikeri,2013,Sex for the census usually resident population count,Total people,6507,number,Number of people,
Russell,Russell,2001,Census usually resident population count,Total people,804,number,Number of people,
Russell,Russell,2006,Census usually resident population count,Total people,819,number,Number of people,
Russell,Russell,2013,Census usually resident population count,Total people,720,number,Number of people,
Russell,Russell,2001,Census night population count,Total people,1203,number,Number of people,
Russell,Russell,2006,Census night population count,Total people,1188,number,Number of people,
Russell,Russell,2013,Census night population count,Total people,1017,number,Number of people,
Russell,Russell,2001,Sex for the census usually resident population count,Male,393,number,Number of people,
Russell,Russell,2001,Sex for the census usually resident population count,Female,411,number,Number of people,
Russell,Russell,2001,Sex for the census usually resident population count,Total people,804,number,Number of people,
Russell,Russell,2006,Sex for the census usually resident population count,Male,417,number,Number of people,
Russell,Russell,2006,Sex for the census usually resident population count,Female,399,number,Number of people,
Russell,Russell,2006,Sex for the census usually resident population count,Total people,816,number,Number of people,
Russell,Russell,2013,Sex for the census usually resident population count,Male,345,number,Number of people,
Russell,Russell,2013,Sex for the census usually resident population count,Female,375,number,Number of people,
Russell,Russell,2013,Sex for the census usually resident population count,Total people,720,number,Number of people,
Paihia,Paihia,2001,Census usually resident population count,Total people,1836,number,Number of people,
Paihia,Paihia,2006,Census usually resident population count,Total people,1773,number,Number of people,
Paihia,Paihia,2013,Census usually resident population count,Total people,1722,number,Number of people,
Paihia,Paihia,2001,Census night population count,Total people,3675,number,Number of people,
Paihia,Paihia,2006,Census night population count,Total people,3840,number,Number of people,
Paihia,Paihia,2013,Census night population count,Total people,3162,number,Number of people,
Paihia,Paihia,2001,Sex for the census usually resident population count,Male,918,number,Number of people,
Paihia,Paihia,2001,Sex for the census usually resident population count,Female,918,number,Number of people,
Paihia,Paihia,2001,Sex for the census usually resident population count,Total people,1839,number,Number of people,
Paihia,Paihia,2006,Sex for the census usually resident population count,Male,885,number,Number of people,
Paihia,Paihia,2006,Sex for the census usually resident population count,Female,885,number,Number of people,
Paihia,Paihia,2006,Sex for the census usually resident population count,Total people,1770,number,Number of people,
Paihia,Paihia,2013,Sex for the census usually resident population count,Male,828,number,Number of people,
Paihia,Paihia,2013,Sex for the census usually resident population count,Female,894,number,Number of people,
Paihia,Paihia,2013,Sex for the census usually resident population count,Total people,1722,number,Number of people,
Haruru Falls,Haruru Falls,2001,Census usually resident population count,Total people,678,number,Number of people,
Haruru Falls,Haruru Falls,2006,Census usually resident population count,Total people,786,number,Number of people,
Haruru Falls,Haruru Falls,2013,Census usually resident population count,Total people,867,number,Number of people,
Haruru Falls,Haruru Falls,2001,Census night population count,Total people,888,number,Number of people,
Haruru Falls,Haruru Falls,2006,Census night population count,Total people,1047,number,Number of people,
Haruru Falls,Haruru Falls,2013,Census night population count,Total people,942,number,Number of people,
Haruru Falls,Haruru Falls,2001,Sex for the census usually resident population count,Male,348,number,Number of people,
Haruru Falls,Haruru Falls,2001,Sex for the census usually resident population count,Female,333,number,Number of people,
Haruru Falls,Haruru Falls,2001,Sex for the census usually resident population count,Total people,678,number,Number of people,
Haruru Falls,Haruru Falls,2006,Sex for the census usually resident population count,Male,375,number,Number of people,
Haruru Falls,Haruru Falls,2006,Sex for the census usually resident population count,Female,411,number,Number of people,
Haruru Falls,Haruru Falls,2006,Sex for the census usually resident population count,Total people,786,number,Number of people,
Haruru Falls,Haruru Falls,2013,Sex for the census usually resident population count,Male,408,number,Number of people,
Haruru Falls,Haruru Falls,2013,Sex for the census usually resident population count,Female,459,number,Number of people,
Haruru Falls,Haruru Falls,2013,Sex for the census usually resident population count,Total people,867,number,Number of people,
Opua East,Opua East,2001,Census usually resident population count,Total people,342,number,Number of people,
Opua East,Opua East,2006,Census usually resident population count,Total people,354,number,Number of people,
Opua East,Opua East,2013,Census usually resident population count,Total people,291,number,Number of people,
Opua East,Opua East,2001,Census night population count,Total people,351,number,Number of people,
